YEAR_MONTH,attempt_number,payment_method,total_attempts,success_count,success_rate,Success_Rate_Change
2024-02,2,CASH,285,202,0.71,-0.03
2025-06,3,CASH,261,185,0.71,-0.04
2024-08,2,CASH,335,237,0.71,0.02
2025-09,2,CASH,320,232,0.72,-0.03
2025-06,2,CASH,327,235,0.72,0.02
2025-10,2,CASH,318,228,0.72,0
2025-03,2,CASH,316,226,0.72,-0.02
2025-07,2,CASH,340,249,0.73,0.01
2025-01,3,CASH,260,190,0.73,-0.06
2025-02,3,CASH,209,153,0.73,0
2025-03,3,CASH,257,190,0.74,0.01
2024-05,3,CASH,265,197,0.74,-0.03
2025-02,2,CASH,270,199,0.74,0.08
2025-04,2,CASH,314,231,0.74,0.02
2024-01,2,CASH,337,248,0.74,
2024-01,3,CASH,257,194,0.75,
2026-02,2,CASH,20,15,0.75,0.08
2025-10,3,CASH,245,184,0.75,-0.03
2024-08,3,CASH,265,199,0.75,-0.04
2024-12,2,CASH,330,246,0.75,0.08
2024-03,2,CASH,272,205,0.75,0.04
2025-08,2,CASH,320,241,0.75,0.02
2024-06,3,CASH,254,191,0.75,0.01
2025-05,3,CASH,228,170,0.75,-0.01
2024-03,3,CASH,232,174,0.75,-0.03
2025-04,3,CASH,239,181,0.76,0.02
2024-11,3,CASH,221,169,0.76,-0.01
2025-08,3,CASH,255,193,0.76,-0.03
2025-12,3,CASH,236,182,0.77,-0.01
2024-10,3,CASH,261,200,0.77,0
2025-11,2,CASH,287,220,0.77,0.05
2024-09,3,CASH,239,184,0.77,0.02
2024-04,3,CASH,265,204,0.77,0.02
2025-11,3,CASH,261,204,0.78,0.03
2024-02,3,CASH,225,176,0.78,0.03
2025-09,3,CASH,251,195,0.78,0.02
2025-07,3,CASH,250,198,0.79,0.08
2024-07,3,CASH,231,183,0.79,0.04
2024-12,3,CASH,230,182,0.79,0.03
2026-04,4,CASH,5,4,0.8,-0.2
2026-03,3,CASH,15,12,0.8,0.21
2026-05,1,CASH,5,4,0.8,-0.08
2026-04,3,CASH,17,14,0.82,0.02
2026-03,1,CASH,17,14,0.82,0.37
2026-01,3,CASH,13,11,0.85,0.08
2026-04,1,CASH,8,7,0.88,0.06
2024-08,4,CASH,92,86,0.93,-0.02
2024-09,4,CASH,98,92,0.94,0.01
2024-01,4,CASH,104,98,0.94,
2025-08,4,CASH,110,103,0.94,-0.03
2025-02,4,CASH,88,84,0.95,-0.03
2025-04,4,CASH,95,90,0.95,-0.04
2024-07,4,CASH,97,92,0.95,-0.02
2024-10,4,CASH,107,102,0.95,0.01
2025-11,4,CASH,80,77,0.96,0
2025-10,4,CASH,97,93,0.96,-0.02
2024-05,4,CASH,122,118,0.97,0
2024-06,4,CASH,102,99,0.97,0
2025-07,4,CASH,89,86,0.97,0
2024-04,4,CASH,98,95,0.97,-0.02
2025-05,4,CASH,112,109,0.97,0.02
2025-06,4,CASH,91,88,0.97,0
2025-09,4,CASH,91,89,0.98,0.04
2024-02,4,CASH,107,105,0.98,0.04
2025-01,4,CASH,112,110,0.98,-0.01
2024-11,4,CASH,99,98,0.99,0.04
2024-12,4,CASH,91,90,0.99,0
2025-03,4,CASH,97,96,0.99,0.04
2025-12,4,CASH,93,92,0.99,0.03
2024-03,4,CASH,84,83,0.99,0.01
2026-02,4,CASH,3,3,1,0
2026-03,4,CASH,7,7,1,0
2026-01,4,CASH,6,6,1,0.01
2026-01,1,INSERT_CARD,46,26,0.57,-0.09
2026-05,2,INSERT_CARD,14,8,0.57,-0.21
2026-05,1,INSERT_CARD,5,3,0.6,-0.12
2025-08,1,INSERT_CARD,855,532,0.62,-0.05
2025-06,1,INSERT_CARD,823,516,0.63,-0.03
2026-03,1,INSERT_CARD,49,31,0.63,-0.06
2024-02,1,INSERT_CARD,815,528,0.65,-0.03
2024-07,1,INSERT_CARD,908,591,0.65,-0.03
2024-11,1,INSERT_CARD,800,516,0.65,-0.01
2025-04,1,INSERT_CARD,806,527,0.65,-0.03
2025-11,1,INSERT_CARD,842,552,0.66,-0.01
2025-01,1,INSERT_CARD,878,578,0.66,-0.04
2025-12,1,INSERT_CARD,821,542,0.66,0
2024-08,1,INSERT_CARD,854,565,0.66,0.01
2024-05,1,INSERT_CARD,854,564,0.66,-0.05
2025-09,1,INSERT_CARD,832,553,0.66,0.04
2025-05,1,INSERT_CARD,849,561,0.66,0.01
2024-10,1,INSERT_CARD,919,611,0.66,-0.01
2025-02,1,INSERT_CARD,773,515,0.67,0.01
2025-10,1,INSERT_CARD,801,533,0.67,0.01
2025-07,1,INSERT_CARD,882,590,0.67,0.04
2024-09,1,INSERT_CARD,815,543,0.67,0.01
2026-03,2,INSERT_CARD,92,63,0.68,-0.02
2024-03,1,INSERT_CARD,829,566,0.68,0.03
2024-01,1,INSERT_CARD,814,551,0.68,
2024-04,2,INSERT_CARD,1493,1022,0.68,-0.04
2025-03,1,INSERT_CARD,872,594,0.68,0.01
2024-06,1,INSERT_CARD,838,574,0.68,0.02
2024-01,2,INSERT_CARD,1575,1082,0.69,
2026-02,1,INSERT_CARD,42,29,0.69,0.12
2025-08,2,INSERT_CARD,1525,1073,0.7,-0.02
2024-12,2,INSERT_CARD,1610,1125,0.7,-0.02
2025-06,2,INSERT_CARD,1531,1077,0.7,-0.03
2024-12,1,INSERT_CARD,909,635,0.7,0.05
2024-05,2,INSERT_CARD,1635,1141,0.7,0.02
2025-02,2,INSERT_CARD,1423,994,0.7,-0.03
2026-02,2,INSERT_CARD,104,73,0.7,-0.04
2024-04,1,INSERT_CARD,857,611,0.71,0.03
2025-10,2,INSERT_CARD,1570,1118,0.71,-0.01
2026-03,3,INSERT_CARD,45,32,0.71,-0.06
2025-04,2,INSERT_CARD,1494,1066,0.71,-0.01
2025-11,2,INSERT_CARD,1534,1088,0.71,0
2024-10,2,INSERT_CARD,1540,1086,0.71,-0.01
2024-06,2,INSERT_CARD,1491,1055,0.71,0.01
2025-09,2,INSERT_CARD,1550,1123,0.72,0.02
2025-03,2,INSERT_CARD,1595,1152,0.72,0.02
2024-09,2,INSERT_CARD,1531,1105,0.72,0
2025-12,2,INSERT_CARD,1540,1102,0.72,0.01
2024-03,2,INSERT_CARD,1582,1135,0.72,-0.01
2024-08,2,INSERT_CARD,1529,1096,0.72,0
2024-07,2,INSERT_CARD,1564,1131,0.72,0.01
2024-11,2,INSERT_CARD,1472,1056,0.72,0.01
2025-07,2,INSERT_CARD,1500,1078,0.72,0.02
2026-04,1,INSERT_CARD,43,31,0.72,0.09
2025-01,2,INSERT_CARD,1554,1137,0.73,0.03
2024-02,2,INSERT_CARD,1440,1049,0.73,0.04
2025-05,2,INSERT_CARD,1553,1137,0.73,0.02
2026-01,2,INSERT_CARD,95,70,0.74,0.02
2025-01,3,INSERT_CARD,755,563,0.75,-0.01
2024-07,3,INSERT_CARD,829,625,0.75,-0.02
2025-11,3,INSERT_CARD,759,570,0.75,-0.03
2024-04,3,INSERT_CARD,810,607,0.75,-0.03
2025-12,3,INSERT_CARD,784,589,0.75,0
2025-04,3,INSERT_CARD,777,583,0.75,-0.04
2024-10,3,INSERT_CARD,826,630,0.76,-0.02
2025-08,3,INSERT_CARD,821,626,0.76,0
2025-07,3,INSERT_CARD,785,598,0.76,0
2024-12,3,INSERT_CARD,829,628,0.76,-0.02
2025-06,3,INSERT_CARD,774,590,0.76,-0.01
2024-02,3,INSERT_CARD,743,565,0.76,-0.03
2024-05,3,INSERT_CARD,849,650,0.77,0.02
2025-09,3,INSERT_CARD,742,574,0.77,0.01
2024-08,3,INSERT_CARD,787,605,0.77,0.02
2025-05,3,INSERT_CARD,837,645,0.77,0.02
2026-02,3,INSERT_CARD,35,27,0.77,-0.01
2024-06,3,INSERT_CARD,828,634,0.77,0
2026-04,2,INSERT_CARD,89,69,0.78,0.1
2024-09,3,INSERT_CARD,793,615,0.78,0.01
2025-10,3,INSERT_CARD,824,641,0.78,0.01
2024-03,3,INSERT_CARD,796,624,0.78,0.02
2024-11,3,INSERT_CARD,778,610,0.78,0.02
2025-02,3,INSERT_CARD,721,563,0.78,0.03
2026-01,3,INSERT_CARD,55,43,0.78,0.03
2025-03,3,INSERT_CARD,819,643,0.79,0.01
2024-01,3,INSERT_CARD,824,647,0.79,
2026-04,3,INSERT_CARD,48,39,0.81,0.1
2026-05,3,INSERT_CARD,6,5,0.83,0.02
2026-03,4,INSERT_CARD,11,10,0.91,-0.03
2024-02,4,INSERT_CARD,178,167,0.94,-0.03
2026-02,4,INSERT_CARD,16,15,0.94,-0.06
2025-11,4,INSERT_CARD,193,182,0.94,-0.03
2024-07,4,INSERT_CARD,189,180,0.95,0
2024-06,4,INSERT_CARD,212,202,0.95,-0.02
2025-01,4,INSERT_CARD,184,175,0.95,-0.01
2025-09,4,INSERT_CARD,159,152,0.96,-0.02
2024-08,4,INSERT_CARD,207,199,0.96,0.01
2025-06,4,INSERT_CARD,211,203,0.96,-0.03
2024-12,4,INSERT_CARD,185,177,0.96,-0.02
2024-10,4,INSERT_CARD,194,188,0.97,0
2025-07,4,INSERT_CARD,179,174,0.97,0.01
2025-10,4,INSERT_CARD,177,171,0.97,0.01
2024-09,4,INSERT_CARD,202,195,0.97,0.01
2024-01,4,INSERT_CARD,189,184,0.97,
2025-02,4,INSERT_CARD,165,160,0.97,0.02
2025-03,4,INSERT_CARD,186,180,0.97,0
2024-05,4,INSERT_CARD,186,180,0.97,-0.01
2024-03,4,INSERT_CARD,184,181,0.98,0.04
2025-12,4,INSERT_CARD,174,171,0.98,0.04
2024-11,4,INSERT_CARD,154,151,0.98,0.01
2025-04,4,INSERT_CARD,187,183,0.98,0.01
2025-08,4,INSERT_CARD,166,162,0.98,0.01
2024-04,4,INSERT_CARD,201,196,0.98,0
2025-05,4,INSERT_CARD,170,168,0.99,0.01
2026-01,4,INSERT_CARD,15,15,1,0.02
2026-04,4,INSERT_CARD,12,12,1,0.09
2026-05,4,INSERT_CARD,3,3,1,0
2026-04,1,TAP,1190,760,0.64,-0.05
2025-08,1,TAP,20323,13493,0.66,-0.01
2024-07,1,TAP,20307,13452,0.66,-0.01
2024-02,1,TAP,19313,12843,0.66,0
2025-11,1,TAP,19840,13101,0.66,-0.01
2025-03,1,TAP,20277,13443,0.66,-0.01
2024-05,1,TAP,20404,13521,0.66,0
2025-06,1,TAP,19709,13084,0.66,0
2024-01,1,TAP,20287,13413,0.66,
2026-01,1,TAP,1248,824,0.66,-0.01
2024-08,1,TAP,20188,13419,0.66,0
2024-04,1,TAP,19502,12932,0.66,-0.01
2025-05,1,TAP,20505,13618,0.66,-0.01
2024-06,1,TAP,19514,12982,0.67,0.01
2024-09,1,TAP,19963,13300,0.67,0.01
2025-10,1,TAP,20437,13624,0.67,0
2024-03,1,TAP,20446,13673,0.67,0.01
2025-04,1,TAP,19657,13187,0.67,0.01
2024-10,1,TAP,20454,13602,0.67,0
2025-12,1,TAP,20347,13625,0.67,0.01
2025-01,1,TAP,20112,13489,0.67,0
2025-07,1,TAP,20217,13537,0.67,0.01
2025-09,1,TAP,19790,13219,0.67,0.01
2025-02,1,TAP,18426,12301,0.67,0
2024-12,1,TAP,20444,13614,0.67,0
2024-11,1,TAP,19750,13286,0.67,0
2026-02,1,TAP,1106,750,0.68,0.02
2026-05,2,TAP,25,17,0.68,0
2026-04,2,TAP,265,180,0.68,-0.06
2026-03,1,TAP,1204,828,0.69,0.01
2025-01,2,TAP,4258,2993,0.7,-0.02
2024-11,2,TAP,4235,2975,0.7,0
2024-10,2,TAP,4470,3148,0.7,0
2025-04,2,TAP,4208,2965,0.7,-0.01
2024-06,2,TAP,4368,3078,0.7,0
2024-09,2,TAP,4344,3043,0.7,-0.01
2024-05,2,TAP,4481,3154,0.7,-0.01
2025-05,2,TAP,4542,3213,0.71,0.01
2025-08,2,TAP,4601,3281,0.71,0
2024-03,2,TAP,4452,3152,0.71,0
2025-06,2,TAP,4327,3076,0.71,0
2024-07,2,TAP,4443,3169,0.71,0.01
2024-08,2,TAP,4437,3164,0.71,0
2025-10,2,TAP,4462,3187,0.71,0
2025-09,2,TAP,4234,3005,0.71,0
2026-01,2,TAP,275,195,0.71,-0.01
2024-01,2,TAP,4537,3230,0.71,
2025-07,2,TAP,4414,3130,0.71,0
2024-02,2,TAP,4287,3062,0.71,0
2024-04,2,TAP,4271,3029,0.71,0
2025-03,2,TAP,4449,3158,0.71,-0.01
2026-02,3,TAP,29,21,0.72,-0.04
2025-11,2,TAP,4422,3191,0.72,0.01
2024-12,2,TAP,4381,3134,0.72,0.02
2025-12,2,TAP,4387,3152,0.72,0
2025-02,2,TAP,4044,2916,0.72,0.02
2024-05,3,TAP,594,438,0.74,-0.03
2025-06,3,TAP,579,426,0.74,-0.01
2025-08,3,TAP,573,425,0.74,-0.03
2026-05,1,TAP,165,122,0.74,0.1
2024-09,3,TAP,600,442,0.74,-0.02
2026-03,2,TAP,268,198,0.74,-0.01
2024-02,3,TAP,534,400,0.75,-0.02
2026-05,3,TAP,4,3,0.75,-0.09
2025-12,3,TAP,534,403,0.75,0
2025-11,3,TAP,543,409,0.75,-0.03
2026-02,2,TAP,205,154,0.75,0.04
2025-05,3,TAP,591,445,0.75,-0.06
2026-01,3,TAP,42,32,0.76,0.01
2024-08,3,TAP,548,417,0.76,-0.02
2024-06,3,TAP,563,427,0.76,0.02
2024-12,3,TAP,571,437,0.77,-0.02
2025-01,3,TAP,610,471,0.77,0
2025-07,3,TAP,569,438,0.77,0.03
2025-03,3,TAP,581,445,0.77,-0.01
2024-10,3,TAP,606,467,0.77,0.03
2024-01,3,TAP,589,452,0.77,
2025-09,3,TAP,531,410,0.77,0.03
2024-04,3,TAP,575,440,0.77,-0.01
2025-10,3,TAP,569,445,0.78,0.01
2024-03,3,TAP,627,490,0.78,0.03
2024-07,3,TAP,578,449,0.78,0.02
2025-02,3,TAP,518,402,0.78,0.01
2024-11,3,TAP,576,456,0.79,0.02
2026-03,3,TAP,28,22,0.79,0.07
2025-04,3,TAP,556,449,0.81,0.04
2026-04,3,TAP,31,26,0.84,0.05
2025-04,4,TAP,26,24,0.92,-0.01
2025-03,4,TAP,41,38,0.93,-0.07
2025-06,4,TAP,51,48,0.94,-0.06
2024-02,4,TAP,42,40,0.95,-0.05
2024-03,4,TAP,41,39,0.95,0
2025-01,4,TAP,58,55,0.95,0
2024-12,4,TAP,58,55,0.95,-0.01
2024-10,4,TAP,55,53,0.96,0
2024-11,4,TAP,52,50,0.96,0
2024-09,4,TAP,52,50,0.96,0
2025-07,4,TAP,50,48,0.96,0.02
2025-09,4,TAP,52,50,0.96,-0.02
2024-08,4,TAP,47,45,0.96,-0.02
2024-06,4,TAP,38,37,0.97,-0.01
2025-11,4,TAP,60,58,0.97,-0.03
2025-08,4,TAP,56,55,0.98,0.02
2025-12,4,TAP,50,49,0.98,0.01
2024-07,4,TAP,47,46,0.98,0.01
2024-05,4,TAP,49,48,0.98,-0.02
2024-01,4,TAP,46,46,1,
2025-02,4,TAP,34,34,1,0.05
2025-05,4,TAP,58,58,1,0.08
2025-10,4,TAP,41,41,1,0.04
2026-02,4,TAP,2,2,1,0
2026-04,4,TAP,1,1,1,0
2026-03,4,TAP,2,2,1,0
2026-01,4,TAP,3,3,1,0.02
2024-04,4,TAP,41,41,1,0.05
